"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/18/2011","AQS","360610119","3","21.3","ug/m3 LC","70","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/19/2011","AQS","360610119","3","6.5","ug/m3 LC","27","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/20/2011","AQS","360610119","3","6.6","ug/m3 LC","28","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/21/2011","AQS","360610119","3","12.4","ug/m3 LC","52","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/22/2011","AQS","360610119","3","10.5","ug/m3 LC","44","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/23/2011","AQS","360610119","3","11.5","ug/m3 LC","48","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/24/2011","AQS","360610119","3","18.8","ug/m3 LC","65","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/25/2011","AQS","360610119","3","10.7","ug/m3 LC","45","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/26/2011","AQS","360610119","3","10.2","ug/m3 LC","43","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/27/2011","AQS","360610119","3","13.6","ug/m3 LC","54","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/28/2011","AQS","360610119","3","15.1","ug/m3 LC","57","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/01/2011","AQS","360610119","3","9.2","ug/m3 LC","38","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/02/2011","AQS","360610119","3","10.9","ug/m3 LC","45","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/03/2011","AQS","360610119","3","7.8","ug/m3 LC","33","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/04/2011","AQS","360610119","3","11.7","ug/m3 LC","49","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/05/2011","AQS","360610119","3","8.4","ug/m3 LC","35","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/06/2011","AQS","360610119","3","7.7","ug/m3 LC","32","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/07/2011","AQS","360610119","3","5.5","ug/m3 LC","23","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/08/2011","AQS","360610119","3","8.8","ug/m3 LC","37","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/09/2011","AQS","360610119","3","9.1","ug/m3 LC","38","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/10/2011","AQS","360610119","3","10.5","ug/m3 LC","44","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/11/2011","AQS","360610119","3","7.4","ug/m3 LC","31","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/12/2011","AQS","360610119","3","10.4","ug/m3 LC","43","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"03/13/2011","AQS","360610119","3","9.9","ug/m3 LC","41","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
